IncrementalTicker,TickerCount,TickerLookup,Ticker,Date,DateCode,Currency,Conversion,Filing,Year,IQ_TOTAL_REV,GrowthRate_YoY_Revenue,IQ_COST_REV,Variable_Margin,IQ_EBITDA,GrowthRate_YoY_EBITDA,EBITDA_Margin,IQ_DA_CF,Step,DandA_PercentofCapEx,IQ_CAPEX,CapEx_Margin,EBIT,GrowthRate_YoY_EBIT,EBIT_Margin,TaxRate,Taxes,NetIncome,IQ_SALE_INTAN_CF,IQ_CHANGE_NET_OPER_ASSETS,WorkingCapitalMargin,FreeCashFlow
7,70,ACWI!A9,GOOGL,43578,996,USD,Historical,Latest Fully Reported,2014,66001,,25313,0.616475508,21475,,0.325373858,4601,,-0.417741057,-11014,-0.166876259,16874,,0.255662793,0.592031,-9989.931094,6884.068906,0,672,0.010181664,1143.068906
7,71,ACWI!A9,GOOGL,43578,997,USD,Historical,Latest Fully Reported,2015,74989,0.136179755,28164,0.624424916,24384,0.135459837,0.325167691,5024,,-0.504924623,-9950,-0.132686127,19360,0.147327249,0.258171198,0.592031,-11461.72016,7898.27984,0,-409,-0.005454133,2563.27984
7,72,ACWI!A9,GOOGL,43578,998,USD,Historical,Latest Fully Reported,2016,90272,0.203803224,35138,0.610754165,29816,0.222769029,0.330290677,6100,,-0.597336467,-10212,-0.113124778,23716,0.225,0.262717122,0.592031,-14040.6072,9675.392804,0,3300,0.036556186,8863.392804
7,73,ACWI!A9,GOOGL,43578,999,USD,Historical,Latest Fully Reported,2017,110855,0.2280109,45583,0.588805196,35781,0.20006037,0.322772992,6899,,-0.523285801,-13184,-0.118930134,28882,0.217827627,0.260538541,0.592031,-17099.03934,11782.96066,0,9246,0.083406251,14743.96066
7,74,ACWI!A9,GOOGL,43578,1000,USD,Historical,Latest Fully Reported,2018,136819,0.234215868,59549,0.564760742,40421,0.129677762,0.295434114,9029,,-0.359163053,-25139,-0.183739101,31392,0.086905339,0.229441817,0.592031,-18585.03715,12806.96285,0,4908,0.035872211,1604.962848
7,75,ACWI!A9,GOOGL,43578,,USD,Historical,Latest Fully Reported,2019,164258.3839,0.200552437,71491.69706,0.564760742,48527.53005,0.200552437,0.295434114,9291.414103,0.036205213,-0.395368266,-23500.65722,-0.14307128,39236.11595,0.249876272,0.23886827,0.592031,-23228.99696,16007.11899,0,5274.736791,0.032112436,7072.612661
7,76,ACWI!A9,GOOGL,43578,,USD,Historical,Latest Fully Reported,2020,197200.803,0.200552437,85829.53112,0.564760742,58259.84445,0.200552437,0.295434114,12176.31544,0.036205213,-0.431573479,-28213.77129,-0.14307128,46083.52901,0.174518117,0.233688344,0.592031,-27282.87776,18800.65125,0,6332.598108,0.032112436,9095.793505
7,77,ACWI!A9,GOOGL,43578,,USD,Historical,Latest Fully Reported,2021,236749.9046,0.200552437,103042.8527,0.564760742,69943.99823,0.200552437,0.295434114,15844.6522,0.036205213,-0.467778692,-33872.11188,-0.14307128,54099.34603,0.173941041,0.228508417,0.592031,-32028.48993,22070.8561,0,7602.61609,0.032112436,11646.01251
7,78,ACWI!A9,GOOGL,43578,,USD,Historical,Latest Fully Reported,2022,284230.6749,0.200552437,123708.3479,0.564760742,83971.43751,0.200552437,0.295434114,20494.62971,0.036205213,-0.503983905,-40665.24645,-0.14307128,63476.8078,0.173337803,0.223328491,0.592031,-37580.238,25896.5698,0,9127.339273,0.032112436,14853.29233
7,79,ACWI!A9,GOOGL,43578,,USD,Historical,Latest Fully Reported,2023,341233.8293,0.200552437,148518.3586,0.564760742,100812.1139,0.200552437,0.295434114,26372.44368,0.036205213,-0.540189118,-48820.76072,-0.14307128,74439.67025,0.172706581,0.218148565,0.592031,-44070.59242,30369.07783,0,10957.84941,0.032112436,18878.6102
8,80,ACWI!A10,JNJ,43578,996,USD,Historical,Latest Fully Reported,2014,74331,,22746,0.693990394,25032,,0.336763934,3895,,-1.048734518,-3714,-0.049965694,21137,,0.284363186,0.592031,-12513.75925,8623.240753,0,-827,-0.01112591,7977.240753
